sentence_id	sentence	sentiment	topic
39	I did however wish is was longer so there was less of a rush to get the book finished.	positive	book
40	Now this is an awesomee thriller!!	positive	book
41	You will be hitched from the beginning and dragged along for the roller coaster ride all the way to the end.	positive	book
42	"This book has great twists and turns and i fell inlove with the main character and his ""girlfriend."""	positive	book
43	I highly recommend.	positive	book
44	Great twist turning and mystery plot.	positive	book
45	Unable to stop reading until the very end.	positive	book
46	Definitely a must read for mystery and suspense readers.	positive	book
47	Definitely recommend.	positive	book
48	I think this series was the first of this type of stories.	positive	book
49	I can see james bond being based on bulldog drummond!	positive	book
50	This is another of those light-hearted novels that are so hard to put down.	positive	book
51	Henry wright is a delightful character who gets in and then out of some tight spots.	positive	book
52	I can't stop reading this series - i love the characters, jacob and especially victor, their relationship, as well as the plot.	positive	book
53	There's always a good bit of mystery going on, and some adventure, and we get to know more about victor's past, and his voice, as usual, is something to look forward to.	positive	book
54	I loved this series.	positive	book
55	Seeing the stories of the all the family members together is very convenient.	positive	book
56	It is the best.	positive	book
57	Mexican heat: crimes and cocktails....*shrug*	neutral	book
58	Good but predictable.	neutral	book
59	I've read and liked both laura baumbach and josh lanyon.	neutral	book
60	This just isn't one of my favorites.	neutral	book
61	Don't know why i downloaded...i got the first couple of chapters read & deleted it.	negative	book
62	I'm not in to psycho stuff.	negative	book
63	Good book - easy to read.	positive	book
64	Ms. lennox writes good stories.	positive	book
65	If you need a love story on a rainy or beach day this is it.	positive	book
66	I did not enjoy this novel as much as her other books.	neutral	book
67	I do enjoy her as an author that i have read most of her books	neutral	book
68	I wasn't drawn into this story.	negative	book
69	I found it unbelievable and couldn't feel for the main character.	negative	book
70	I still thank the author for offering the book for free.	negative	book
71	This story was over before it started.	negative	book
72	The story starts off with this queen who has so many traitors in her midst and the guy is on top of that list.	negative	book
73	He quickly seduces her into a boring, too quick sex romp and then the story is over.	negative	book
74	This story took about 7 minutes, but the excerpts from countless of other stories they want you to buy took much longer, about what this book should have been.	negative	book
75	I'm not too much into paranormal romance novels but i must say that caleb is a man's man.	positive	book
76	He knows what he wants and he goes about getting it.	positive	book
77	In this case he wants sommer and boy does he get her.	positive	book
78	A good read.	positive	book
79	Never underestimate the mind of an unrehabilitated criminal; especially one who is planning his next violent crime, while completing his latest jail sentence.	positive	book
80	Simply put, his final lesson in life was his final crime.	positive	book
81	Thanks to amazon, i was able to purchase this book, along with about 50 others so far, at reasonable costs, at my own convenience, and have not been without reading material since i received the kindle.	positive	book
82	I enjoyed the beginning part of this book more than the last third.***spoilers***i get really frustrated in romance books where either the h or h decide they aren't good enough for the other.	neutral	book
83	However in this book during the first half it was the h who felt he wasn't good enough and the second half it was the h, plus she had other issues too.	neutral	book
84	It was a bit too much for me to have both of them wavering and after they'd had an intimate relationship i would've liked to have seen more commitment, it wasn't realistic for the time period.	neutral	book
85	This short story was entirely too short.	negative	book
86	I am unable to figure out a purpose for these few pages.	negative	book
87	They could have been incorporated in another book in the series.	negative	book
88	I am very disappointed.	negative	book
89	I really enjoyed this book.	positive	book
90	It was different than most i've read.	positive	book
91	It actually used older cha r caters which just made the book great.	positive	book
92	The humor in it made me laugh.	positive	book
93	The irony absolutely kills me that a product about how to get free books has to be paid for.	negative	book
94	What a con!	negative	book
95	Check the help page, or other peoples' reviews, and save your money.	negative	book
96	This is the first book i have read by this lady.	positive	book
97	And it was very good.	positive	book
98	I shall order another one soon.	positive	book
99	This was a quick read but a fun story.	positive	book
100	I enjoyed the characters and the simple story line.	positive	book
101	It was a perfect book for vacation.	positive	book
102	I thought this book was really good even tho there is a lot of m/m scenes in it.	positive	book
103	I liked the characters but some of the things they did our said were kind of cheesy.	positive	book
104	Overall the book was a good read.	positive	book
105	I really did try to take this all into context but just couldn't.	negative	book
106	It was ignorance like this that left amazing cultures so broken, filled with alcoholism, lost tradition and domestic violence.	negative	book
107	This dude should have been trying to learn the sacred ways.	negative	book
108	Only my opinion.	negative	book
109	I've read all the halle puma books and this one was no exception.	positive	book
110	Dana marie bell is a fantastic shifter romance novelist.	positive	book
111	It took a bit for me to follow the animal/human flipping back and forth, but it is a nice fantesy novel	neutral	book
112	Two lost souls find each other and help heal the wounds that have locked away their true selves for years.	positive	book
113	This story is perfect in that it is realistic and shows how people can change for the better even if it does not have a fairy tail ending.	positive	book
114	Real love can endure hard problems and survive.	positive	book
115	I really enjoyed terrible entire story.	positive	book
116	I can only hope that i would act as intelligent and resourceful as these young people, if i were ever placed in the same circumstances	positive	book
117	This was basically a fast read that the storyline also went fast, but this was a good story.	positive	book
118	I just felt that the book was sorta rushed.	positive	book
119	I'm sorry	negative	book
120	But i dont like these short story collections that mascarade as novels.	negative	book
121	There is little to no character developement or story plot.	negative	book
122	Save your money for something that will take longer than 15 minutes to read.	negative	book
123	This book had some interesting and exciting parts, but it dragged in many places to the point of boredom.	neutral	book
124	I did not enjoy it as i thought i might.	neutral	book
125	I enjoyed how the story had characters from the first in the series.	positive	book
126	Independent, passionate and stubborn females are represented in each of these improper ladies.	positive	book
127	I loved this book,great reading,told very good story,highly recommend.if you love j.r ward books you will love this one.	positive	book
128	Happy reading.	positive	book
129	Storyline could have been better and it was slow.	negative	book
130	It took to long to get to the threesome.	negative	book
131	As long as it it very cheap it is somewhat worth it.	negative	book
132	Easy read and provided several very useful tipswould recommend this book for purchase	positive	book
133	Ok read, different story aspect, liked that she used the alaska wildness for her back drop, traveled there many times to anchorage ak and loved the state, great background for story.	neutral	book
134	The menage was ok too.	neutral	book
135	And story line good too.	neutral	book
136	It was an ok read although at sixty seven i found it a bit juvenile, but i was pleased with the way it stretched my mind.	neutral	book
137	What a wonderful set of detective stories!	positive	book
138	As captivating and well written as arthur conan doyle's.	positive	book
139	The attention to scientific detail was so accurate.	positive	book
140	I would recommend this compilation to all fans of detective stories - young and older alike!	positive	book
141	Not what i was wanting.	negative	book
142	I could tell after just a few pages that this was not the kind of book i want to read.	negative	book
143	I don't want to read the dirty scenes.	negative	book
144	Who can go wrong with jane austen?	positive	book
145	I love to read widely and of great variety, and one of my favorites has always been jane austen.	positive	book
146	She is the original great women's fiction writer, and modern day authors can do well to study her style and ability to weave a captivating story.	positive	book
147	I had really hard time to focus on the story,the book is hard to read and there is no good flow therefore after few chapters i deleted it.	negative	book
148	It was kind of obvious who did very early on in this book.	negative	book
149	Didn't hold much to keep the pages turning fast.	negative	book
150	I found this book to be a very enjoyable read and a new twist to science fiction.	positive	book
151	I hope mr. erickson keeps writing this kind of sci-fi.	positive	book
152	He has the talent.	positive	book
153	I would like to see his book in a 3d movie, imagine the special effects.	positive	book
154	Love the author.	positive	book
155	Unique in that combine science fiction with erotica.	positive	book
156	Recommed for anyone that like science fiction paranormal and erotica.	positive	book
157	These stories almost totally lack plot and the nature and character of the 'thinking machine' are not revealed.	neutral	book
158	His conclusions (like many of sherlock holmes) seems mysterious but alternate explanations to the data would make them look foolish.	neutral	book
159	I like the twists and mystery of these stories but find the content pretty thin.	neutral	book
160	Richard pendleton	neutral	book
161	The book was free and i was looking for something to read so the book (not even a book) was way too short.	neutral	book
162	Just when it started to get good it ended.	neutral	book
163	It should have been just a little longer with a decent ending (personally i don't enjoy books with no ending).	neutral	book
164	This collection of stories includes an astounding variety of material ... from humorous to gross to boring, and more.	positive	book
165	Thankfully, the boring stories were few in number; and i enjoyed reading the collection.	positive	book
166	I enjoyed the jack daniels stories the most; but most of the others were good reading, too.	positive	book
167	I am glad i read this; and i recommend it.	positive	book
168	Interesting book.	neutral	book
169	If one is really into the stories behind the outlaws of the american west this book covers a lot.	neutral	book
170	I was bored at times.	neutral	book
171	The author did his homework though, kuddos to that.	neutral	book
172	It was a good easy reading book it held my attention very well i love horror books and mystery books	negative	book
173	I will never understand how a nymphomaniac can be sexually boring....but this one is!	negative	book
174	I thought my husband and i would get some ideas....	negative	book
175	We did....	negative	book
176	We got an idea that this book was written by someone that was as sexually experienced as a leper.	negative	book
177	This book came free so i am grateful.	negative	book
178	It was way confusing and the characters came out of the woodwork so often and with so many names that i gave up trying to keep track.	negative	book
179	I couldn't finish the book but i wish other readers better luck.	negative	book
180	Sorry melanie nilles.	negative	book
181	It's seriously twisted, and very intense, but i loved this short story!	positive	book
182	It's not for the faint of heart, but if you enjoy some good dark & twisty stuff, then this is a great little short!	positive	book
183	The authors even add some great humor to their disturbed characters.	positive	book
184	I want to read serial killers uncut after reading this little sample!this was picked up as a freebie from their website.	positive	book
185	When i was reading this novella i felt as if i was granted a privilege to take a look through a window in another time and place.	positive	book
186	Very nicely done and settings ring true to an era.	positive	book
187	And oh boy, i am always pleased when author is not afraid to do something to the character which makes his looks less than perfect.	positive	book
188	And chemistry was wonderful too, they sizzled on the page.	positive	book
189	In this, slice of real hell and torture that has become my reality, sometimes a good book is the only way to escape hades and the very real demons set on either killing me or driving me insane.	positive	book
190	Thanks gena for providing an outlet for me to hide for a few when i just want time to myself.	positive	book
191	This was a great story i thought that the author rushed his opening his heart again kinda quick but that would happened anyway this is a love story right.	positive	book
192	The way that jacob and desiree remember what they felt from 10 years earlier and still held to their morals was great.	positive	book
193	This story is a great read about reconnecting to only to a person you loved but couldn't have but also with finding your own heart and learning to love again.	positive	book
194	"""serial"" presents the perfect lunch hour read about what would happen if two serial killers crossed each other's path."	positive	book
195	Bonus material at the end: the two authors interview each other.	positive	book
196	Really like is book, it engaged me from the first lime and kept the interest up to the very end.	positive	book
197	The writing is good quality (which is more unusual than i would like), the story is interesting and the sex scenes are great.	positive	book
198	This author is added to my watch list	positive	book
199	I thought this might be an interesting read but i couldn't get past page 3 for all the foul language.	negative	book
200	"Next time the book description mentions that it contains ""foul language"", i will be more selective in my choice of reading materials."	negative	book
201	I like metaphysical topics, so i was actually disappointed throughout the first 3/4 of this book that there wasn't more mysticism.	positive	book
202	And then in the final few chapters, the author took a hard right turn and the metaphysical stuff flew off the charts, and became a bit much even for me.	positive	book
203	But other than that, i really enjoyed this book.	positive	book
204	I liked the main character, i liked the setting, the writing was top-notch, etc.	positive	book
205	These stories were supposed to be scary.they read like a second rate black and white tv show.	neutral	book
206	I love scott nicholson's books.	neutral	book
207	This one was not up to his usual standard.	neutral	book
208	I enjoyed the blue stocking heroine and the other cast of characters.	neutral	book
209	Poignant story, well worth reading, however more care could have been taken in the editing.	neutral	book
210	Couldn't get into this book.	negative	book
211	Sorry, maybe i will try again.	negative	book
212	Have too many other great books to read/review.	negative	book
213	I usually love the shifter books.	negative	book
214	This is a novella attached to the charlie parker mystery series.	positive	book
215	As a charlie parker fan, and having read every novel in the series, i had to read this too.	positive	book
216	Not very fond of short stores, but if it involves charlie and her brother and their agency, i recommend it.	positive	book
217	This is part of a series i read and i loved the whole series i also have some on kindle.	positive	book
218	Not interested in m/m in any way, i'm sure in not the only one .	negative	book
219	So maybe a label or warning next time, thank you.	negative	book
220	I really enjoyed this scottish historical romance.	positive	book
221	I think it's one of the first i've read that was set in the mid nineteenth century where the characters weren't leaving the country.	positive	book
222	I look forward to reading more from this author and would definitely recommend it to others.	positive	book
223	Not interesting enough or well written enough to be three stars.	negative	book
224	Not so badly written or dull to be only one.	negative	book
225	This book is sad but uplifting at the same time.	positive	book
226	Another great read in the series.	positive	book
227	Can't wait to read more	positive	book
228	Not bad for a first novel i suppose, but he really needed to run it by another editor.	neutral	book
229	There were a bunch of really annoying grammar/punctuation errors.	neutral	book
230	The story was kind of one dimensional, and i don't feel like i got to know the characters as much as i'm accustomed to in this genre.	neutral	book
231	It was diverting as a free novel, but i'm not exactly anxious for the next one to come out.	neutral	book
232	The book was great to read but very disappointing at the same time.	positive	book
233	I do not like books that ends without finishing the story of what is going on.	positive	book
234	This book does this it leaves you hanging wanting to know if he able to keep his daughter, what continue to grow between the two main characters and their life being together.	positive	book
235	It could have been written better and more put into it.	positive	book
236	Unless a book is part of a series i do not like when they reel u in	negative	book
237	So u must buy the next one big turnoff for me	negative	book
238	"Okay so if you're like me you couldn't stand that ""50 shades"" non-sense."	positive	book
239	I don't like characters that are doormats.	positive	book
240	Here you will find great characters, and great sensual scenes!	positive	book
241	I enjoyed the very descriptive scenes, the intense suspense, and the manner in which the author pulled together an exquisite storyline of fulfilled fantasies and true love ending in a wonderful hea.nicely done!	positive	book
242	I've never read any of the quatermain stories, and decided to download this one.	positive	book
243	Sure glad i did.	positive	book
244	Old-fashioned adventure that turned out to be a real page-turner.	positive	book
245	Can't wait to read the earlier stories.	positive	book
246	Quick, dirty and too the point.	neutral	book
247	Some days you just need that sort of read.	neutral	book
248	I told a friend i would read this author.	negative	book
249	I've been told this is one of her first books and her writing gets better.	negative	book
250	My problem with this book is that i can't read past the poor editing.	negative	book
251	It takes me out of the story and i find myself highlighting problems instead of great quotes.	negative	book
252	A little too x-rated for me.	negative	book
253	At my age (66) i don't need to read stuff this explicit.	negative	book
254	Past that stage in life.	negative	book
255	Loved the story, usually you get the story of the courtship not what happens after they marry.	positive	book
256	Would of liked it even more if it was a full length novel.	positive	book
257	The story is okay	negative	book
258	But the book has so many errors that halfway through it i started another book.	negative	book
259	I am not sure who did the proof-reading on this book but they did not do a very good job.	negative	book
260	It really messed with the flow of the story.	negative	book
261	This book was different than i expected but i did get caught up in it.	positive	book
262	I would recommend and i would read other books by this author.	positive	book
263	Perfectly representative of the best konrath and crouch have to offer to their readers.	positive	book
264	When this team decides to really get into it, the results are amazing, and the books, long after being read, stick with us.	positive	book
265	Keep up the good work, guys!	positive	book
266	It was a good read would have loved for it to be longer so as to get into the plot but like it.	positive	book
267	This short story by showalter combines three different elements i have seen in other stories: atlantis, the amazons, and vampires.	positive	book
268	It is also apparently a follow up to at least one other novel by showalter, though i didn't feel like i was missing much in the backstory by starting here.	positive	book
269	I feel like this story might have been better as perhaps a longer novella though - for those just starting out in the world, it is a rather brief number of pages to get acquainted with the world and its characters.	positive	book
270	I liked the story overall, and will be checking out other books by showalter.	positive	book
271	It was a total waste of my reading pleasure and a total waste of the writer's time in writing it.	negative	book
272	Risky pleasures is a good read i really enjoyed meeting vanessa and cameron cody.	positive	book
273	I like that vanessa was not a. push over.	positive	book
274	I had heard about bulldog drummond before but had never read any of the books.	positive	book
275	This series was very good, and although he got into a lot of tight corners, he always found a way to get out of it!	positive	book
276	Those tight corners sometimes seemed to be the end of him, but not so.	positive	book
277	He prevailed!	positive	book
278	Punishment was painful but yet delightful.	neutral	book
279	Not a lot to this little prequel.	neutral	book
280	Lust and being forceful is the name of this game.	neutral	book
281	Just could not get into it.	neutral	book
282	Bought it, because the price was right.	neutral	book
283	Still just not for me.	neutral	book
284	Not to say you may enjoy.	neutral	book
285	I loved this book for the originality of the basic premise.	positive	book
286	I was not familiar with the matthew hope series, but will definitely read more.	positive	book
287	I have always enjoyed the 87th precinct series.	positive	book
288	His character development continues to be excellent.	positive	book
289	In a fantasy land where vampires help humans to defeat an enemy from another dimension.	positive	book
290	There's plenty of fighting action along with romance between vampire and human.	positive	book
291	The characters were well developed so you could understand their relationships and emotions.	positive	book
292	This book is a great beginning to a series!	positive	book
293	I got this book for my kindle free; after reading i'm really glad i didn't pay anything for it.	negative	book
294	"The storyline had the potential for a good ""twilight zone"" kind of story, but was just too lightweight to make it."	negative	book
295	The author seems to feel the need to put in really xx rated sex scenes - she seemed to love to be able to use the word c**k.	negative	book
296	I didn't find this adding anything to the story, and only finished it because it's a fairly short book.	negative	book
297	The blurb made this book sound very interesting.	negative	book
298	However, i thought the dialogue was boring, as were the characters.	negative	book
299	By the time i got to the part where one of the characters wanted to dress up in drag, i was too through!	negative	book
300	Couldn't finish this book.	negative	book
301	So it wasn't a total waste of my money or tine.	negative	book
302	A bit of a tedious read.	negative	book
303	I enjoyed her descriptions of the area around her father's property, but her feelings about her dad's recent death and her boyfriend seemed empty.	negative	book
304	The description of this book sounded intriguing, but i have to admit that i was lost.	negative	book
305	The author's writing style was confusing, and i gave up shortly into the book.	negative	book
306	This is just what i have been looking for and i love it very much.	positive	book
307	I would recommend these people to every one	positive	book
308	I'm not a great writer, and i don't analyze what i read.	positive	book
309	I just know what i like, and i liked this story, the characters and the outcome.	positive	book
310	I've just purchased the rest of the series so i'll see if i enjoy 2, 3, and 4 as much as blue ruin 1.	positive	book
311	This book was just okay, the storyline was good and i liked most of the characters.	neutral	book
312	But it really needs some editing.	neutral	book
313	Man, when resurrected will be judged according to what they lived on earth.	positive	book
314	God will give celestial bodies to those who valiantly followed god's commandments which have glories as bright as the sun and god will live with them terrestial bodies to those who are not so valiant with glories which shines like the brightness of the moon and god will not live with them.	positive	book
315	Telestial bodies to those who barely followed god which glories shines like the brightness of the star sand god will not live with them also.	positive	book
316	Nice book, nice plot, nice characters.	neutral	book
317	But it's kinda missing something, it could been better.	neutral	book
318	But it's a nice quick read if you have a couple of hours to kill.	neutral	book
319	Far too short!	negative	book
320	I would have awarded more stars with more length.	negative	book
321	I think this could have made a wonderful full length book.	negative	book
322	Very, very funny, with the clever twist of having intelligent trolls that are a part of a functioning society.	positive	book
323	My wife (whose amazon account i am hacking since i do not have one of my own) starting downloading tuttle's books on the kindle and we are both in the process of flying through the entire catalogue.	positive	book
324	This is one of the funnier books that i have read in a long time, set in a fantasy world that does not conform to the normal archetypes of the various creatures normally found in such worlds.	positive	book
325	Get this story and enjoy it.	positive	book
326	This book was great.	positive	book
327	It completely blew me away with the great way that stephanie draven merges fantasy and reality.	positive	book
328	I found this very well done.	positive	book
329	The chemistry between the main characters was enough to make me unable to stop reading!wild, tethered, boundis an excellent book and i would recommend it to any one who is looking for a quick read that is good enough to make you blush.	positive	book
330	"Fans of the ""with"" series should recognise the overall wold in this short story."	positive	book
331	While this could be read as an unofficial prequel to the series, as these characters are mentioned briefly (though not by name) in without reservations, if you are unfamiliar with these novels i would read it after the first full novel.	positive	book
332	I enjoyed this one and didn't find laine irritating like some others did; not everyone can be perfect and it was a nice change from some other shorts i've read.	positive	book
333	If you enjoy the series you'll probably like this addition to it as well, i did.	positive	book
334	Love love love maya banks and she does not disappoint with this one.	positive	book
335	I love her kgi and colter series best, but this one was way awesome too.	positive	book
336	You go girl!!!	positive	book
337	So not worth the money...it was much much too short, before you warm yourself up the book ended.	negative	book
338	I love the first book, at least that was over 300 pages long (kindle).	negative	book
339	"**spoiler alert**when the description mentioned the sex robot had some ""manufacturer defects,"" i assumed that meant something kinky."	negative	book
340	I didn't expect it to go on a rampage, killing one person and brutally sodomizing another.	negative	book
341	That's more than a defect, i think.	negative	book
342	At least i didn't waste my money on it.	negative	book
343	This was a great love story.	positive	book
344	It shows that love has no age limit and can not be bound to money, up bringing, or other peoples beliefs on what defines love.	positive	book
345	This was good to the last page.	positive	book
346	I really hope to read move about this family in the future.	positive	book
347	Was cute and funny, but definitely only 166 pages.	negative	book
348	I normally don't ever read short stories cause they seem false with no story lone.	negative	book
349	I enjoyed this first book because i like to see authors explore stories like these with new eyes such as with characters w/ disabilities without being preachy.	positive	book
350	Really a typical story.	neutral	book
351	Probably a three star only due to the characters.	neutral	book
352	Actually a bit boring.	neutral	book
353	Hope next book is better	neutral	book
354	If you're looking for a short midlife romance with explicit sex (and a christmas theme), this will fit the bill.	negative	book
355	I personally found it so dull that it was difficult to keep reading . . .	negative	book
356	The characters and plot were just so predictable.	negative	book
357	It didn't even seem as if the author was very invested in this story.	negative	book
358	I downloaded the baltimore catechism to do some research for a book i'm writing and for the memories of st. mary's in rockford, il that i associate with it.	positive	book
359	It fully met both of those expectations.	positive	book
360	I will add that i never recieved five stars from any of the nuns for any reason.	positive	book
361	A snow storm brought them together, but god's love and their love for one another will keep them together when deep hurts, fears, on and sins from the past threaten to tear them apart.	positive	book
362	I really enjoyed this story of forgiveness and new beginnings.	positive	book
363	Loopy main characters.	negative	book
364	One of the few books that i have started but neverfinished.	negative	book
365	The good part is that i will avoid the author in the future.	negative	book
366	I have all of these books in the first set of westmoreland stories on hardback but wanted them also on my tablet.	positive	book
367	It is easie to store on the tablet even though i am collecting all of her books on hardback.	positive	book
368	Great read for those of you that have never read a brenda jackson book.	positive	book
369	Thank goodness only took about 20-30 minutes to read & this was too long.	negative	book
370	Very boring, very predictable, written on about 4th grade reading level.	negative	book
371	Okay, lactating women are kind of sexy.	negative	book
372	I get that.	negative	book
373	But, a book that is not much longer than the review i'm writing in which there is no character development and no plot to speak of?	negative	book
374	I guess there is sense to crying over spilled milk.	negative	book
375	I enjoyed reading these mysteries because they walked you through the clues and provided opportunities to solve it along with the detective but as many books written in this time period, they were a bit long.	positive	book
376	I sometimes wanted them to just cut to the chase!	positive	book
377	Other than that (and that i didn't realize that this would be well over the equivalent of 900 pages long)	positive	book
378	I did enjoy reading these and look forward to reading vol. 2.	positive	book
379	This book was fairly well written.	positive	book
380	The pace was solid and i enjoyed the characters.	positive	book
381	Looking forward to reading the next book.	positive	book
382	Another fun romp from bianca d'arc.	positive	book
383	Quick easy read.	positive	book
384	Again great easy to love characters i look forward to finishing this great series.	positive	book
385	This is a very good book for mature adults.	positive	book
386	It sizzles from beginning to end.	positive	book
387	You won't want to put it down.	positive	book
388	This story is very short (think novella), but it it's very well-written and the plot moves at a nice, quick pace.	positive	book
389	This is a great, easy read for a few hours (especially for the beach or that plane trip).the story revolves around an estranged couple, a misunderstanding, and a cute and funny revelation at the end.	positive	book
390	I don't really understand the negative/mediocre reviews, because i personally loved this story.	positive	book
391	I get that everyone has their own opinion, but if you're a fan of adult historical fiction, you will definitely enjoy this!	positive	book
392	If you like westerns, you'll love this book.	positive	book
393	Great story with great characters.	positive	book
394	This book is well worth reading!	positive	book
395	Go ahead and try it!	positive	book
396	This was perhaps the most surreal little story with absolutely no set up that i have ever encountered.	negative	book
397	Truly surreal and silly.	negative	book
398	I thought that the bloodlines story was very good.	positive	book
399	This was the first story i ready by this author.	positive	book
400	Keep up the good work.	positive	book
401	It was like more than half the story was missing.	negative	book
402	This short story is like taking one chapter out of a novel which could be a very entertaining story.	negative	book
403	Hey author - where is the whole story?	negative	book
404	We would have read the entire story - and probably loved it!	negative	book
405	Who could resist an evening with a great book like the zane grey novels.	positive	book
406	I enjoyed all the stories and highly recommend them.	positive	book
407	I have always enjoyed this author.	positive	book
408	The storyline was good but ended abruptly.	positive	book
409	I wasn't ready for the story to end with so little details.	positive	book
410	I enjoyed it.	positive	book
411	I love light reads and love stories and a little added adventure made it fun.	positive	book
412	Nice writing style.	positive	book
413	As always sharon sala comes away with another amazing story!	positive	book
414	Thanks for another great read.	positive	book
415	They keep getting better and better!	positive	book
416	Wow, thought i was buying a book, not a short story.	negative	book
417	No suspense at all, just events occurring, no character development.	negative	book
418	"And the ""caveman"" jokes were not even funny, because that is exactly the way the guys are written."	negative	book
419	No substance at all.	negative	book
420	I really enjoyed the bundle to have all three books in one.	positive	book
421	So, i finish one book & start on the next.	positive	book
422	Great i would to hear about their kids.	positive	book
423	I didn't want to believe the one bad review given the other favorable ones but i couldn't even finish this book.	negative	book
424	It's just awful.	negative	book
425	Not a ton of suspense, convoluted when you get down to the end and really a colossal waste of time and money.	negative	book
426	Much better ir books available.	negative	book
427	Its erotic and bold.	positive	book
428	I enjoyed it very much i couldn't put it down.	positive	book
429	The story just leapt from the pages.	positive	book
430	I'm extremely happy with this book it's a must own.	positive	book
431	Very nice collection of the more well known works and a few of the lesser known.	positive	book
432	A must have for the vernies. :o)	positive	book
433	This book didn't emerse me in the characters minds or the villains minds	positive	book
434	But almost just a bit more	positive	book
435	And i would have given five stars.	positive	book
436	I liked this story a lot.	positive	book
437	It was a different kind of love story but i enjoyed the various twists and turns k.b. incorporated into it.	positive	book
438	I liked the book (i did not love it).	neutral	book
439	I did not like or understand the need for the development of a romance between the two senior underlying couples.	neutral	book
440	I would still recommend this book!	neutral	book
441	I had high hopes for this one, and this met that level of hope!	positive	book
442	The hero and heroine were actually nice.	positive	book
443	I liked the interaction between them and it turned into a hot romance!	positive	book
444	Meggy has always wanted a daddy and she found the perfect one in david who she had found on-line.	positive	book
445	She plans and then goes to spend a week with her new daddy who is yes very strict but also very loving.	positive	book
446	They must decide whether or not the relationship will work before the week is up or meggy will be going home and possibly never see her daddy again.	positive	book
447	Seemed to be reading the same thing over and over especially when describing relationship with wife.	neutral	book
448	Not very impressed with book.	neutral	book
449	The best thing about this series is the fact that it could be neverending :)	positive	book
450	There are always more stories to tell when it involves surviving the zombie apocalypse.	positive	book
451	This book supposedly has all the answers but is not for anyone but a pc expert.	negative	book
452	I need a book to tell me what this book says.	negative	book
453	If you are not computer savvy don't buy this book.	negative	book
454	I purchased this along with the kindle dx because it was a cover and it was $10.00.it is very sturdy, but it is a little too heavy for my needs.	negative	book
455	Also got concerned with the way it attaches to the kindle that it make break the kindle one day,so i purchased the icover model in red, to be on the safe side.	negative	book
456	I really like to learn about how women managed just n the past and this was a good read, very positive outlook for someone with 11 children all born at home-	positive	book
457	I bought this charger for my kindle 2, since the plastic around the wire of the original charger just keeps shredding.	positive	book
458	It works well, although my kindle frequently resets itself when i plug it in.	positive	book
459	This may have more to do with the age and use of my kindle, rather than the charger.	positive	book
460	Did not like this to much the story line was only about sex needed more substance to catch my attention	neutral	book
461	I enjoyed reading this book.	positive	book
462	It kept me interested from start to finish.	positive	book
463	It was hard to put down.	positive	book
464	Definitely worth purchasing this good short read.	positive	book
465	I will have to say i think this one was your best.	positive	book
466	However he needs to drop the question and ask her.	positive	book
467	I think i am in love with cindy as she is the perfect mate..	positive	book
468	Good job on this book my friend	positive	book
469	I enjoyed the reader's digest very much.	positive	book
470	If i could figure out how to get it on my kinkle i would	positive	book
