sentence_id	sentence	sentiment	topic
47	But compared to other boring science fiction works at the moment, a remake of a classic science fiction novel is still worth spending half a day to watch.	neutral	movie
48	In my opinion, the main problem with this adaptation is that the conflict set in the original story has its historical and political roots, and these deep contents seem to be unsuitable after substituting the subject and the place of occurrence, which is difficult for a reader who is loyal to the original book to accept.	neutral	movie
49	Only reason for me is the lead i know him mostly from castle	neutral	movie
50	Otherwise it's been there done it.	neutral	movie
51	The usual middle age jokes etc.	neutral	movie
52	U all have to pardon me i'm 71 so i've been around the block a bit 2 many times i will keep watching of course	neutral	movie
53	Who in their right mind, would adapt 3 body problem into a hollywoodesque, young adult type series?forced relationships, forced melodrama, shallow characters, anti-science dialogue(uh, it's fake, it's a scam), girlboss brain rot, aren't these characters supposed to be the smartest people on the planet?making them all have a history together makes no sense, db and weiss can't write their own dialogue even if their lives depended on it.	negative	movie
54	Science-fiction without actual science, there is no interest in explaining anything that happens, the most you'll see of science here, are people making revolutionary math like 43 + 8 = 51 - 38 = 13, wow, irrefutable proof that the sun acts as an antena, even the mass appeal marvel movies tried coming up with explanations back in phase 1 and phase 2.also eiza gonzales as a scientist wtf, i have my doubts that she's even an actress.	negative	movie
55	Season one and two were pretty good	negative	movie
56	But now it seems like either someone on the cast is being held hostage or captive in some kind of critical situation.	negative	movie
57	What the hell there's got to be more stories out there.	negative	movie
58	I thought police stories were about different types of crime being solved.	negative	movie
59	Really entertaining, but sometimes it pushes way to hard on the 'police is bad' issue.	neutral	movie
60	"Some of that is fine, but if a police series which shows mostly amazing und unbiased officers then pushes for those officers to ""push for change"" and somehow feel ashamed for beeing police... and then ofcourse you have characters like fbi trainee simone in the later 4. season."	neutral	movie
61	Absolutly annoying, doesnt follow orders given and does not present in a manner appropriate for an fbi trainee, but gets empowered to heaven and gets an artificially boosted part in solving the case.	neutral	movie
62	All that as the struggeling black woman who wants to become an fbi agent to 'make a change'.........	neutral	movie
63	I'd give first 5 seasons a 9....but the latest ones a 5-6....so 7 was my overall score... that's my honest opinion.	neutral	movie
64	"Lol, i started watching this after checking all the reviews here and watching the ""making of"" trailer and, take this with a grain of salt because i haven't finished the first episode yet, but i think i already pointed out what the problem is, that got this series so many ""negative"" reviews talking about the exact same thing: it all stems from the ""bad"" move of having the real guy portray himself, with all his current age's glory of eye wrinkles and ""no longer spotless"" skin (which rest assured is something we share, so no offense, there...) when the events of the plot is all stuff that supposedly happened when he was much younger, wrinkle-less and spotless, and thus with a much more obvious ""naive-looking-resh bud- like"" appearance."	neutral	movie
65	"From a visual standpoint, viewers unconsciously associate even the slightest presence of wrinkles with older age, and with life wisdom and experience... meaning that, from the get go, they won't expect an ""older looking"" person to act out the kind of naive mistakes the protagonist keeps committing when first talking to the ""stalker lady"", at the bar, in the very first episode (haven't seen the part with the male-to-male thing yet, so i'm obviously not making a reference to any of that, with this opinion...).moreover, when in the ""making of"" the author, who portrays the protagonist, talks about the the bar where he used to work, with his randy coworkers, as an ""heteronormative"" place, it suddenly struck me that he is probably quoting his younger self: using the same words he used to describe it when he was closer to that age, meaning much younger..."	neutral	movie
66	"However, if you don't clarify it for the viewers that it's your ""younger self"" that you're quoting, there, then a ""mature-looking"" face like the one you have now will only encourage the audience to judge you; because they'd expect someone of ""your age"" to already know that, nowadays, most people wouldn't say those former coworkers of yours were throwing disgusting perv comments at you and your ""stalker lady"" because they were ""straight"" (or, ... ""heteronormative""...), but, merely because they were just garden-variety pervs, and pervs can come in all kinds of sexual orientation (as people would assume an ""older looking"" person to already know).all in all, what this series needed was a comical disclaimer (""this is me interpreting my much younger self, so please do as if you don't see my wrinkles"") or a much younger-looking authir portraying the main character."	neutral	movie
67	An epic series, most of the actors mastered their characters despite the bad season, that it is still the best tv show in history	positive	movie
68	It takes a while to watch every episode, i first started watching and stopped at season 5, then i started again and really enjoyed it.	positive	movie
69	A lot of people really hated the last season, yes the ending was bad, but i still enjoyed it the battle of winter fell was one of my favourites, if you couldn't see what was going on you're just blind lmao, the other battles are also amazing.	positive	movie
70	9/10 would be a 10 but the ending was pretty bad but it definitely doesn't make the whole show bad just most of the last season.	positive	movie
71	The story of the book is already great enough, i don't see why it needs this much tasteless changes.	negative	movie
72	And the portray of each characters, both acting and directing-wsie (especially wenjie ye, such a in-depth, complex and interesting character yet in here is just shallow and pale )	negative	movie
73	Is so bad that i don't think they understand the core and complexity of this book.	negative	movie
74	And all those political correctness is way too forced, after all, i think they just don't believe a true great story has universal attraction, despite the background or the origin of the story, so they put all those hollywood cliche adaptions in it expecting us to like it, so wrong!	negative	movie
75	New season is to dark to see what's happening.	negative	movie
76	Very disappointing	negative	movie
77	We have been waiting for the white walkers,the night king,the great war,the prince that was promised for the past 8 years and is that the ending that we deserve : arya flying from nowhere like a rat and stabbing the great night king,who survived far worse foes for the past 8000 years??	negative	movie
78	What about jon ?	negative	movie
79	Why was he resurrected then if he was not meant to kill the night king?	negative	movie
80	If you request to some extra terrestrial civilization to 'come on over and help yourself,' and then are seemingly surprised when they do just that, who's to blame?	neutral	movie
81	When you create nano fiber and then use quite possibly the most contrived reason to use it against a ship, who's to blame?	neutral	movie
82	When a physicist seemingly can't count to five while his buddy is performing confirmation before his voyage, who's to blame?this story is apparently based upon a book but i have a feeling that the 'db duo' have deviated from the source material once again through judicial use of coke or, even worse, the book this was based upon wasn't worth adapting in the first place and they weren't smart enough to realize it.	neutral	movie
83	The series is cool, but for the fact that they began to politicize the plot in the third season, there is a big minus.	negative	movie
84	This season makes everyone in seattle look weak and feeble as if covid is so bad that everyone has a catastrophic reaction.	negative	movie
85	It is incredibly unrealistic.	negative	movie
86	As if a young 40 yr old heathy doctor would need a breathing tube for covid get real.	negative	movie
87	Use to love this show now it just to ridiculously ridiculous.	negative	movie
88	It is time to put this to rest.	negative	movie
89	You need a score card to keep track of who is in bed with who.	negative	movie
90	Having patients give love advice to the doctors is too much.	negative	movie
91	My last review doesn't seem to have been posted.	negative	movie
92	I suppose someone has to weed out some of the terrible reviews it's getting to keep that rating up?	negative	movie
93	Stop with the social lectures!	negative	movie
94	Stop ruining tv!	negative	movie
95	Overall the show is a solid 9 except for the negative views on policing in general which runs through the show in order to mimic the far left ideology, which is anti-police overall.	neutral	movie
96	Solid acting, excellent suspense and great plot twists.	neutral	movie
97	Please send this once fabulous series to dignitas inswitzerland to be put out of its misery.	neutral	movie
98	It's the kind thing to do!	neutral	movie
99	No more!	neutral	movie
100	I loved season 1 and 2, season 3 was a bit too political.	positive	movie
101	I'm sure since most of this has passed over in hollywood season 4 will be better.	positive	movie
102	Season 8 episode 3 was a complete let down....	neutral	movie
103	Why oh why destroy the story to appease fanboys	neutral	movie
104	Good series, but nowhere as good as castle.	neutral	movie
105	Too bad that they canned stana	neutral	movie
106	I really enjoyed seasons 1-2 and was looking forward to watching the other seasons	neutral	movie
107	But i just can't get through season 3.season 3 is basically political correctness and blm being forced down your neck when you just want to sit back, relax, enjoy and watch a programme to forget about the world.	neutral	movie
108	It paints the police in a bad light even when they are trying to do the right thing which does not help their public image and can potentially turn more people against them even though in reality there are only a few bad police just like there are only a few bad people but unfortunately hate/despair/death is what sells in the media so that is all that's reported and made into a bigger issue than it is.	neutral	movie
109	I will try season 4 to see if it improves but i won't hold my breath.	neutral	movie
110	Like... seriously????there!	neutral	movie
111	That has better writing than the entire 8th season.	neutral	movie
112	Season 3 is an other victim of progressive ideology.	negative	movie
113	Nothing more then propaganda.	negative	movie
114	It seems like a production of '50-'60s of soviet mosfilm producers from kremlin mixed with chairman mao's cultural revolution principles from '70s.	negative	movie
115	Maybe america deserves that?	negative	movie
116	Started ok, but typically badly written, where the bad guys always lose and the women cops always come out on top.	negative	movie
117	All in all a good series.	neutral	movie
118	I love all most of the series but the end does not fit to the rest.	neutral	movie
119	With all game adaptations you go in holding your breath and expecting the worst but this doesn't disappoint at first you can see it becoming another mundane experience.	positive	movie
120	"This is soon proven otherwise as you're plunged into the world of fallout with gritty conflict and a complex plot my only complain is the lack of content in such a large universe of lore they've filled a lot of it with walking and some ""easter eggs"", they have set up an enjoyable show as well as the base to continue a successful video game adaptation which makes a nice change."	positive	movie
121	Hopefully this will have a promising future and explore more of the fallout lore and some of the niche characters.	positive	movie
122	"After s03 most of episodes are recorded with action cams and ""shop"" cams."	positive	movie
123	That is not necessary cause we don't want to loose some details of the series.	positive	movie
124	This kind of serials would easily makes me feel attached with all the characters... and the story on every episodes is always varies with sufficient action accompanied with many moral story behind them...	positive	movie
125	Nice ...	positive	movie
126	I went in with low expectations but was pleased to see it was fun and engaging.	neutral	movie
127	I was especially happy to see they didn't make lucy another mary sue.	neutral	movie
128	However, now i have watched the whole season i feel it's been let down by bar writing, especially in the area of character motivations, and without going into details that might cause spoilers i would say that the ending will absolutely fiddle with the timeline and canon of the games now - despite what the shows creators said about making an unrelated and original story in the official world.	neutral	movie
129	But with all that said i think it's worth a watch if you don't think about it too much - it has the dark humour of the games, the retro-futuristic look (mostly anyway) and it certainly kept me watching all the way through.	neutral	movie
130	While i appreciate the idea that good guys don't always win, i don't need to watch something where the bad guys almost always do.	negative	movie
131	There is enough bad news in real life to spend my time watching fictional attempts at depressing a viewer.	negative	movie
132	Grey anatomy is a soap opera.	negative	movie
133	Deliciously addicting and good at it's job, but a soap opera.	negative	movie
134	There are few good actors, and few realistic plots.	negative	movie
135	Very little character arcs or development and disable main characters,	negative	movie
136	Why?	negative	movie
137	Because the ending sucks.. don't waste your time the entire season has no purpose or connection with the ending.	negative	movie
138	The only thing separating this show from being the greatest of all time is the awful 6 episode conclusion that we waited 2 years for.	neutral	movie
139	Unfortunately this show will get thrown into the pile with lost, true blood, how i met your mother and many others that were fantastic and were done in by horrible endings.	neutral	movie
140	Too many social diatribes.	neutral	movie
141	No longer entertaining.	neutral	movie
142	First 5 seasons are awesome.	neutral	movie
143	Then it's just a downfall	neutral	movie
144	But i kept watching until i couldn't.	neutral	movie
145	Life is too short for never-ending killing-all-main-characters soap operas!	neutral	movie
146	They took a show about doctors who are learning and having love interests and turned it into a political arena for left-wing extremism.	negative	movie
147	Wasted potential in the later seasons.	negative	movie
148	What a shame.	negative	movie
149	First few seasons were good, but slowly all good and interesting characters were killed off, now show is not bearable.	neutral	movie
150	The sound balance is off.	neutral	movie
151	"It is too difficult to hear character dialog over the rock music playing in the ""background"" during intense scenes."	neutral	movie
152	The show is a classic hollywood type show that is fun to watch once in a while but i was a bit dissapointed with season 3 and feel lieks it's going downhill like most tv shows after a couple of seasons.	neutral	movie
153	As a computer scientist with a solid understanding of physics, i didn't find a single scientific explanation that made sense.	neutral	movie
154	"The arguments are often centered around the notion that ""science is broken"" or that ""the universe is ignoring the laws of physics"" while the characters that are supposed to be highly talented oxford students lose all scientific rigor simply because they are scientists and are expected to be skeptical and atheist by nature, leading them to deny everything like if they were very afraid to start thinking maybe god exists."	neutral	movie
155	At times, it seemed like a parody of skepticism and atheism from an overly dumb perspective.	neutral	movie
156	While i found it entertaining, i couldn't help but be put off by their depiction of a parallel world where all scientists are portrayed as idiots and the existence of god is their biggest fear.	neutral	movie
157	The tv show is one of the best series ever made but as time went by they rushed to finish it as fast as they can and ruined a lot of characters along the way.	neutral	movie
158	Shame that the fans are so disrespected after years of tremendeous support.	neutral	movie
159	It was a 9/10 for me before the last season and many would give it less than my 6/10 after this season	neutral	movie
160	But i think it is still worth a watch.	neutral	movie
161	I use to enjoy this , fast paced with plenty of story, but season 2 episode was too much, when they saved the guy in the concrete and the dad killed his self , way too much cheese.	neutral	movie
162	I am constantly let things go on this version of a police drama.	neutral	movie
163	Some of the things on this police show is quite a stretch for police work.	neutral	movie
164	However letting a fbi trainee be involved in a tracking down terrorist then her an her trainer (the show producer)express their sexual preferences is a bit much.	neutral	movie
165	Of course she being a black woman she has to be a single mother with a father who drives a cadillac.	neutral	movie
166	What's good about a show if it's climax is the worst thing you have ever seen.	negative	movie
167	Maybe just watch it up to season 6 then think of how you'd like the series to end.	neutral	movie
168	Would be more enjoyable if they didn't do such a terrible job ending the series.	neutral	movie
169	Very good series but super annoyed that every series has to have some sort of lgbtq character, it's not even realistic to have a female trying to be a male character in a apocalyptic series , the show is supposed to portray fallout not modern times 👎	neutral	movie
170	I hope that in the future tv can go back to being entertainment and not propaganda for the left or right party.	neutral	movie
171	Americans do not watch tv to gain political perspective and tv today is so centered on this it makes it super hard to get into a series that is good , such as this , good tv show but gotta deal with the bs modern times politics , seperate it from entertainment it's not that crazy!	neutral	movie
172	Wow, this is actually really good!i have to start my review by saying i never played the game so i entered with zero expectations, so im telling you when i binged this entire thing my mind was blown away.	positive	movie
173	This is wonderfully done, shot, written and directed!first episode if you're like me unaware of the game wouldn't make a lot of sense, but when you go further you'll get attached to each character and the story itself.	positive	movie
174	About the story, i've watched dozens of apocalyptic works and even games, not so much time ago the show silo nearly had thhe same idea but surely different potentials.	positive	movie
175	What i found interesting in fallout is the philosophy about the apocalyptic world they're living in, how in an a capitalist society we well always end up like this, and the motivation behind each character to still live this awful life and their narratives is what singled out fallout for me!	positive	movie
176	A lot of humor and a lot of heart, no one but nathan fillion could carry it off.	positive	movie
177	This show reveals a different kind of policing from people with empathy.	positive	movie
178	Like a typical morality tale each episode may highlight a lesson in life but i can tell they can dig a little deeper with the through lines in the plot.	positive	movie
179	A lighthearted show with a few dark spots here and there to deepen the connection with the characters.	positive	movie
180	The showrunners crashed this series harder than any other in tv history.	neutral	movie
181	Seasons: 1-4, incredible5-6, a bit slow but otherwise great7, no good8, atrociousgood cgi dragons.	neutral	movie
182	Made an account just to give one star after the s08e03 disaster.	negative	movie
183	Terribly written, produced and edited.	negative	movie
184	Pretty much ten years and it turned out to be a huge disappointment.	negative	movie
185	All the brilliant work in the seasons before the last was undone for me, i couldn't give it less than 7 because it was so well crafted , if it had gotten the final season it deserved it would've been a straight 10	neutral	movie
186	S1, s2, entertaining and enjoyable.	negative	movie
187	S3 ruined by hollywoke.	negative	movie
188	There was a lot of attention for the release of this new series.	negative	movie
189	After watching the first episode, i noticed that they stress the use of their axon body worn cameras, and it's like watching a horrible version of southland.	negative	movie
190	The main officer, john nolan looks like ed helms from the hangover movies.	negative	movie
191	It should be a perfect 10 out of 10 however as anyone who is a fan of the series will tell you after season 6 there was a pretty aggressive decline in writing quality.	positive	movie
192	Season 8 was so bad that it literally destroyed any hope of rewatching the series at all, as all of it amounts to nothing now.	positive	movie
193	Dan and doug should never be allowed to write anything ever again for what they did to one of the greatest shows ever on television.	positive	movie
194	I loved this series so much.	positive	movie
195	Then came season 8 episode 3 and 4.	positive	movie
196	Such a disgraceful ending.	positive	movie
197	Seasons 1-4 10/10 seasons 5-7 9/10 season 8 (ep 1-4) 3/10	positive	movie
198	This show was good in the first two seasons, that was before the writers started killing off everyone.	negative	movie
199	As someone who just started watching four years ago and have binged the first seasons waiting for the recent ones to come out, the show is a waste of time and please don't bother watching.	negative	movie
200	Nathan fillion looked so phony with his perpetual scrowl and plastic smile.	negative	movie
201	His delivery was automatic and awkward.	negative	movie
202	Sorry i thought that nathan could act.	negative	movie
203	Liberal writers sold out the show to the socialist propaganda of the the leftist ideology.	negative	movie
204	White cop bad.	negative	movie
205	Once again the left thinks people of color can't help themselves by taking responsibility for their own communities and need the liberal social experiment to tell them they need the help of the democrats to do anything.	negative	movie
206	I've downgraded my initial rating of 7 for season 1 to a 4 for season 2 as the story lines have become increasingly ridiculous.	negative	movie
207	I won't bother to watch seasons 3 or 4.	negative	movie
208	The best cop shows about lapd are 'southland' and 'bosch', both highly rated by cops themselves.	negative	movie
209	Love this show!	positive	movie
210	I watch a lot of stuff on netflix now, but this is a must wait and watch weekly program for me and the wife!	positive	movie
211	There is always different drama every day in the cop world, i expect this show to have plenty of good ideas for the seasons to come!	positive	movie
212	Great work on this one!	positive	movie
213	I was expecting to cry from my favourite characters dying in meaningful ways but instead im crying because of the writers betrayal to one of the best shows ever made.	negative	movie
214	The first 6 seasons were great.	negative	movie
215	Unfortunately the last 2 seasons have been sorely lacking.	negative	movie
216	Dissatisfied disappointing and dreary!!!	negative	movie
217	Up until season 17 grey's anatomy was 🔛🔝 it is such a good show and i recommend it, if you love medical/romantic shows, grey's anatomy is for you.	positive	movie
218	I really enjoyed grey's cuz it's mixed with the study of medicine and romance it shows us meredith and how her life is like and why she became a surgeon it also showed support for the lgbtq+ by having a lesbian couple (arizona and callie) and there are alot of tragedies like the plane crash the shooting episode etc, this is literally a comfort show, and it also shows us how people can change i honestly changed after i finished watching grey's anatomy, tho i stopped watching it after season 17 because all of my favorite characters either left or died, but overall it's such a great show and i really recommend it.	positive	movie
219	After watching the sopranos, i thought this was the end of american tv.	positive	movie
220	I didn't expect to have mad men.	positive	movie
221	When mad men end, i thought there was no show to be a backup.	positive	movie
222	This will be the work of god forever.	positive	movie
223	I used to love this show.	negative	movie
224	But around season 12 they started becoming political and preachy.	negative	movie
225	I haven't been able to watch the last few seasons because it's gotten so bad.	negative	movie
226	You had the potential make the series epic, but the writers are too greedy.	neutral	movie
227	The scenes of the doctors doing their work are very informative and entertaining, but for every 5 minutes of screen time showing doctor work, there is another 40 minutes of soap opera drama.	negative	movie
228	If you're wanting to watch a show about doctors, find something else.	negative	movie
229	If you're looking for a better-than-average soap opera, you'll probably like this show.	negative	movie
230	The pace of this series is way to fast!	negative	movie
231	The chinese version, though deleted so much content about cultural revolution, however it's pace is alright, the story unravels slowly and mystery being solved one at the time	negative	movie
232	So it always got you attracted to the story.	negative	movie
233	The biggest problem of this series is very similar to many netflix series: they poured lot's of money in it, but there seems no quality control, so the scripts are always unchecked and nobody knows where the director comes from and then it always feels like the series is used for making quick cash and they never intended to make a sequel to this series, so the quality is always not so good and the rating is always quite low.	negative	movie
234	If you love shows filled with political correctness and virtue signalling then look no further than the rookie.	negative	movie
235	We have lots of wonderful left wing themes such gay, lesbian, racism, feminism, it's just amazing how they managed to fit them all into the show again and again.	negative	movie
236	Season 1/2 were normal right wing then in season 3 the writers start introducing woke themes and just keep going.	negative	movie
237	If you're woke and love virtue signalling then this is the show for you.	negative	movie
238	Was a really good show then season 8 happened.	neutral	movie
239	If you exclude season 8 then this show was clever, intriguing and really well written.	neutral	movie
240	But season 8 does ruin the rewatch value when the ending is so badly done.	neutral	movie
241	Wish my watch had ended before the end. :(	neutral	movie
242	The first 2 seasons were great.	negative	movie
243	Now they have gone political.	negative	movie
244	Can't they just do entertainment instead of the crap they are trying for this season?	negative	movie
245	Lost a loyal viewer.	negative	movie
246	The woke agenda people destroyed a serie once again.	neutral	movie
247	Season 3 has put my favorite serie in the ground.	neutral	movie
248	And if you look at all the comments that are comming out...	neutral	movie
249	I see i'm not alone.	neutral	movie
250	Too much sickening lgbt activism.	negative	movie
251	But the show ,especialy first eleven seasons is,in general well written, some episodes being brilliant but also some with strange development, such as miranda admitted to the hospital council instead of karev who owned the shares of dr. yang (15 million usd) .	negative	movie
252	After watching characters develop for 7 years it was a tragity to see season 8 treat the characters with so little respect for character development in favour of fire and explosions.	negative	movie
253	But season 15 has really let me down.	positive	movie
254	They need to bring back some of the characters which they haven't killed off.	positive	movie
255	Season 1 - 9/10 season 2 - 9.5/10 season 3 - 9.5/10 season 4 - 9/10season 5 - 7/10 season 6 - 6.5/10season 7 - 3/10 season 8 - 2/10the show clearly falls off in quality as soon as they run out of books (season 1-4 were almost direct adaptation from the books, seasons 5-6 were a bit of a mix and book material ending, season 7-8 were written by the producers)it's a fantastic show with multiple plot storylines and you will get drawn to at least 2-3 characters and want to see what happens.	positive	movie
256	As long as you know the show/story will fall off a cliff and change completely once the book material runs out, you will have a great viewing, if you are expecting the same quality start to finish, you will be angry/upset/disappointed.	positive	movie
257	The dialogue, writing, plot points, pacing, character assassinations/dumbed down, plot armour, no more strategic politics, everything really just becomes dumbed down once the producers take over.	positive	movie
258	Up until that, it's like a more mature, well-written, twisted dark medieval show with a bit of fantasy.	positive	movie
259	Interesting character stories with episodes that keep you entertainedsoundtrack not so much	neutral	movie
260	Over all a good tv police series.	positive	movie
261	I like the cast and writing that shows the perspective from a 40 something rookie (nathan fillion).	positive	movie
262	The rookie policeman has the wisdom of real life experiences that add to the job.	positive	movie
263	I would recommend this tv friendly police drama.	positive	movie
264	Watch it 'till season 7 finale, and -for the love of god- just stop there, use your imagination to end the story, picture whatever you want, but just do not watch season 8, it is a dark place from which you will never come back.	positive	movie
265	Dark.	positive	movie
266	Dark place.	positive	movie
267	They ruined e.v.e.r.y.t.h.i.n.g.	positive	movie
268	...but overall (working in the health profession myself) i can tell you this is a very unrealistic show.	neutral	movie
269	The dialogue is irritating and the medical scenarios are very unrealistic.	neutral	movie
270	Not worth your watch, particularly if you work in health!	neutral	movie
271	This show was so good for so many years i am unsure as to why they keep dragging it out.	positive	movie
